City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,bamboo flat,11.7,92.7167,26.05,83,20,1.03,IN,1708711069
126,westport,41.1415,-73.3579,8.02,83,100,0.45,US,1708711069
127,tura,25.5198,90.2201,16.68,31,37,1.17,IN,1708711069
128,port lincoln,-34.7333,135.8667,16.85,63,76,5.85,AU,1708711000
129,gamba,-2.65,10.0,26.71,84,96,4.72,GA,1708711069
130,jirja,26.3383,31.8916,17.12,67,100,2.06,EG,1708711069
131,san-pedro,4.7485,-6.6363,28.6,76,86,5.07,CI,1708711070
132,belmonte,-15.8631,-38.8828,28.06,78,97,3.14,BR,1708711070
133,utrik,11.2278,169.8474,25.95,82,98,10.44,MH,1708711070
134,alesund,62.4723,6.1549,5.97,89,75,10.29,NO,1708711070
135,chonchi,-42.6128,-73.8092,17.84,47,94,1.21,CL,1708711070
136,wurtulla,-26.7568,153.1256,25.17,88,99,3.55,AU,1708711071
137,port mathurin,-19.6833,63.4167,27.14,86,69,6.06,MU,1708711071
138,xinqing,48.2333,129.5,-21.62,100,54,1.33,CN,1708711071
139,mount isa,-20.7333,139.5,24.87,83,40,2.57,AU,1708711071
140,luderitz,-26.6481,15.1594,17.45,84,0,5.3,NA,1708711071
141,governador valadares,-18.8511,-41.9494,27.23,81,97,0.72,BR,1708711071
142,saudarkrokur,65.7461,-19.6394,-1.09,96,96,6.85,IS,1708711072
143,ola,59.5833,151.2833,-23.65,86,96,3.77,RU,1708711072
144,st. john's,47.5649,-52.7093,2.31,91,75,5.14,CA,1708710743
145,thompson,55.7435,-97.8558,-21.91,71,75,3.09,CA,1708711072
146,haiku-pauwela,20.9219,-156.3051,22.8,75,30,2.24,US,1708711073
147,porbandar,21.6422,69.6093,21.66,36,0,5.01,IN,1708711073
148,chissamba,-12.1667,17.3333,22.43,71,86,1.17,AO,1708711073
149,georgetown,5.4112,100.3354,27.97,78,20,2.24,MY,1708710506
150,sangkhla buri,15.1555,98.4536,20.5,65,0,0.81,TH,1708711073
151,longido,-2.7333,36.6833,22.91,48,73,6.4,TZ,1708711073
152,ishigaki,24.3448,124.1572,18.07,94,75,3.6,JP,1708711074
153,kas,36.2018,29.6377,13.8,77,5,1.34,TR,1708711074
154,fisterra,42.9049,-9.2629,8.75,69,83,15.08,ES,1708711074
155,elverum,60.8819,11.5623,3.26,76,100,8.6,NO,1708711074
156,ugoofaaru,5.6667,73.0,28.33,74,100,4.12,MV,1708711074
157,sao tome,0.3365,6.7273,27.24,83,100,4.17,ST,1708710774
158,puerto ayora,-0.7393,-90.3518,30.98,90,12,2.68,EC,1708711075
159,quepos,9.4236,-84.1652,30.25,65,16,3.84,CR,1708710720
160,abatskoye,56.2875,70.4555,-21.67,90,45,3.08,RU,1708711075
161,amboasary,-25.0333,46.3833,23.88,87,0,4.77,MG,1708711075
162,praia da vitoria,38.7333,-27.0667,16.53,67,20,1.19,PT,1708711075
163,petropavlovsk-kamchatsky,53.0452,158.6483,-16.97,89,0,4.47,RU,1708711075
164,tamanrasset,22.785,5.5228,20.95,11,0,2.06,DZ,1708711076
